relative_time,cts,e_cts
2390.65686,-729.4580969546223,537.4077902745495
2390.6638,1659.1033422245625,535.4165680666924
2390.67075,-1354.1109599829638,534.4915843373938
2390.67769,-1082.0622878479408,535.5045108920243
2390.68464,168.45650296959423,539.9597708953615
2390.69158,-3441.2961603507515,539.0552161205189
2390.69852,589.2376864155749,542.0544488244476
2390.70547,-107.8735099415259,539.6911356065526
2390.71241,116.88256961087042,542.4884821723281
2390.71936,-600.6031768208319,543.4899379236545
2390.7263,1348.4297442207762,541.4671436952744
2390.73325,30.532110269057238,546.8189835340143
2390.74019,-321.2272832723461,542.128408194323
2390.74714,-144.62257710994837,545.0471267836311
2390.75408,-482.0766772278562,546.4033034714206
2390.76103,1298.383175633438,550.8853286824675
2390.76797,838.1794631289447,556.3803896938907
2390.77491,-1923.7620858880605,558.3638554537993
2390.78186,-1329.667552107757,561.3881054335056
2390.7888,-255.01540319430592,564.2361420253109
2390.79575,-61.12113757165221,566.1886912391711
2390.80269,491.77442207843353,564.200637157941
2390.80964,-574.1489917492777,567.7873934825343
2390.81658,1331.0476536138665,570.7770125608365
2390.82353,-1212.850639190085,563.9403045458091
2390.83047,-881.9168714075009,575.3445771908089
2390.83742,-1047.6836348708875,568.3445467858793
2390.84436,-1784.0645254881913,572.5446087271354
2390.8513,-620.4652551021017,583.1080168670669
2390.85825,-1807.4134002366898,587.1222517947955
2390.86519,199.58837238284062,589.4980190277065
2390.87214,-1621.0342587101952,591.9252410068676
2390.87908,-797.1934089572012,594.4586498509015
2390.88603,552.0661659483218,596.8665353330641
2390.89297,-504.9395176534952,596.4333759511496
2390.89992,712.9417788828129,599.3511113287459
2390.90686,2029.3361913729575,603.8691876358916
2390.9138,-335.11536719280735,603.7472693836303
2390.92075,787.9874884540081,605.3326436460115
2390.92769,-712.6022431050096,606.4234624173645
2390.93464,-696.7373574151308,608.9022483885215
2390.94158,1054.4969642963233,612.1151657711449
2390.94853,-593.4516225665417,610.9042859252082
2390.95547,-135.3138563600008,612.9724171380761
2390.96242,-608.9438710176538,614.7199120871562
2390.96936,592.2184565884711,615.9336323224825
2390.97631,-1068.0823282553008,620.9507431962321
2390.98325,1444.8533167955773,625.9791063817945
2390.99019,985.3284573551987,627.0217477792702
2390.99714,122.83252990761306,627.9785220205832
2391.00408,-1996.9104153470014,629.9348948355448
2391.01103,205.26980663652003,618.8169552901661
2391.01797,1359.199408328691,633.885767230736
2391.02492,-1299.5193313892794,640.2869124574424
2391.03186,1527.4551176175896,632.1469026955706
2391.03881,332.0071072346162,632.2188956420224
2391.04575,1632.1145084732889,636.6341717024137
2391.05269,440.06294832580545,637.8017902330319
2391.05964,-1744.1282136873976,642.0443487693861
2391.06658,183.0888781558771,657.8287203446442
2391.07353,-973.1034214223497,649.0959431663115
2391.08047,-2426.120454306628,650.7656551444148
2391.08742,21.813098054689426,653.7237022021942
2391.09436,-663.1128278210167,656.1495039866604
2391.10131,-343.92352393571036,662.0214628209347
2391.10825,-592.2705668091958,665.9712427586685
2391.11519,565.5817218757621,668.9939632979344
2391.12214,-1538.5665024182229,672.3555641405289
2391.12908,-1903.9633701393282,670.0793197819997
2391.13603,-2303.166661621228,672.101567781651
2391.14297,-1119.502443604003,672.2383434553349
2391.14992,1257.9375601659397,675.0865985386317
2391.15686,-798.184049379698,675.091296105699
2391.16381,-891.4489997075154,676.7828572329531
2391.17075,-1229.319216871,676.0878357984665
2391.1777,552.3521713107057,678.6647244493106
2391.18464,-1587.062655381821,675.6486679005358
2391.19158,387.54808135890295,677.1019640563004
2391.19853,-846.2550179008217,679.4512938187388
2391.20547,-2212.3287147810797,681.7984386662623
2391.21242,-1610.9273885417695,675.1461374700675
2391.21936,-21.54588296057528,675.7493924781207
2391.22631,-195.95748077696263,675.319947451562
2391.23325,-1585.920381864218,676.0414063565211
2391.2402,677.000474758495,675.1957350386398
2391.24714,-1109.004473665778,674.314340361897
2391.25409,-186.77799774424196,676.9954494541903
2391.26103,-1130.69477950224,675.405705361979
2391.26797,-2610.433212552186,678.9612174032867
2391.27492,226.28661245040902,679.5815147476775
2391.28186,-306.90156089439455,675.7587876122557
2391.28881,-1617.086117458648,676.7482263315491
2391.29575,-476.2675346973904,679.0959174078013
2391.3027,-991.2454254367236,677.2471516524073
2391.30964,-2872.7441558936857,679.0393281115008
2391.31659,-2686.248886139455,680.0236322807438
2391.32353,-736.6101974376414,680.6225174589669
2391.33047,-621.2804468569175,681.2557058013567
2391.33742,-79.35654669864587,684.6142477630701
2391.34436,1291.4898783221101,689.0449274736127
2391.35131,-385.9299333727955,690.192991015741
2391.35825,-1100.7537979634574,692.1802803767508
2391.3652,-1361.1852774950064,692.7652913452632
2391.37214,-1545.9196150734294,697.2437114467002
2391.37909,-107.7031958238955,701.45808458065
2391.38603,-2620.7835914878974,701.7354595291193
2391.39298,-1300.4671474794404,706.840076245218
2391.39992,-2043.5503738444943,714.4688159169614
2391.40686,-2600.9429253727953,709.3325179345941
2391.41381,-1075.7241774165345,711.7833369948381
2391.42075,-1618.349216771055,715.0047755456303
2391.4277,-535.8165167418977,722.8996378540303
2391.43464,-3598.9105692829958,714.7898891637323
2391.44159,-313.803488619637,726.7706516090755
2391.44853,2126.6886805239046,721.990931740849
2391.45548,-1714.413589333817,723.1410709521465
2391.46242,-2458.034632505218,735.9560339120669
2391.46937,-649.9753714196308,731.1249685433361
2391.47631,-1417.3115903250425,734.8716606397132
2391.48325,751.6565047545861,747.2090011991974
2391.4902,1384.2683573440854,751.0709475573449
2391.49714,-2034.9463974004054,738.5987977476004
2391.50409,-152.10252407597503,740.3837639874741
2391.51103,-2221.8958017197356,748.6385910281334
2391.51798,972.544738678564,760.1332099048716
2391.52492,126.4855983998791,754.5235501061524
2391.53187,3075.987126209233,758.7209901495104
2391.53881,-273.8783198849102,766.0042947731798
2391.54575,1283.5944697849814,768.767119683297
2391.5527,814.000866941445,771.625097637966
2391.55964,840.1229449459074,768.4424413269163
2391.56659,-1706.282100740114,769.8294253150083
2391.57353,802.3312363800093,771.9751210073615
2391.58048,2945.2335150142394,775.3848992238336
2391.58742,1217.529743726472,777.7431871374239
2391.59437,-1711.5208712319989,781.1411668133544
2391.60131,-3017.7718162288897,778.5224370418867
2391.60826,405.89765229020946,779.175398864258
2391.6152,1297.1496819181305,778.0479827680773
2391.62214,-160.46299175277838,778.0341085583666
2391.62909,-2312.7575641324574,777.83899565645
2391.63603,-91.69345027514699,778.280785452279
2391.64298,-1617.5553279366611,777.2720102359872
2391.64992,-1815.2157313984362,777.1280243430834
2391.65687,735.4016117523657,778.0514786319414
2391.66381,-146.33161755652313,777.8152893296215
2391.67076,-682.1353525461676,776.9771559681973
2391.6777,-897.211166567307,771.0693645293155
2391.68465,-733.2595211696223,769.7990549976888
2391.69159,3061.732522811767,771.6009543281543
2391.69853,-375.7871213540167,768.3353804960775
2391.70548,-1731.8356638836729,769.7690124176064
2391.71242,522.4464761478015,770.8243263215895
2391.71937,980.7557581751761,784.0802051113727
2391.72631,-403.5772726503957,783.0936067814689
2391.73326,-1978.8855227720758,778.0384783881967
2391.7402,-24.377314199025967,773.7776758123015
2391.74715,1236.556638281453,775.8564038625076
2391.75409,912.5495970083975,787.3427200625684
2391.76103,-1478.938317208044,775.3561675927003
2391.76798,-2054.4358384429083,776.1087615351992
2391.77492,-465.47077764452837,781.8088768114025
2391.78187,-801.8478239550479,782.3236427653951
2391.78881,1463.1651979445985,784.9536248486754
2391.79576,-613.3334743277929,784.8435051369555
2391.8027,15.469853073232516,802.188342944563
2391.80965,-1031.2294776284118,792.2632576970717
2391.81659,-157.4789442075095,793.8449176040973
2391.82353,2848.8599769909933,796.9299082184427
2391.83048,2864.4032432053723,802.7837322589219
2391.83742,626.0413764568743,805.0269844022333
2391.84437,1209.1621750761944,807.2994051596611
2391.85131,-751.0275769962807,809.279156564214
2391.85826,-205.00586891477857,812.8263659288446
2391.8652,-477.4068585798582,812.2590527711443
2391.87215,353.4398116025904,812.6194544863866
2391.87909,-335.1998141542752,818.3229563807083
2391.88604,637.9485072695794,818.409260519854
2391.89298,-648.9515202904248,819.5451977842033
2391.89992,2221.076021643598,821.0002418719001
2391.90687,1986.2362320208756,820.8175829849995
2391.91381,1800.2360639864016,820.2274374664368
2391.92076,209.0577936247922,818.2999055283543
2391.9277,-918.5145239723086,813.7995270320207
2391.93465,353.13709164110634,815.2069399745686
2391.94159,-288.38954153915194,814.539885450995
2391.94854,-1327.3188778197932,811.0173656249051
2391.95548,-566.1409508482766,807.9182823093572
2391.96242,-1379.6167827356282,808.2175064069772
2391.96937,-241.84812270432906,806.4224895584942
2391.97631,-1092.769791126522,805.3480576490042
2391.98326,-209.76221019341364,808.715776253361
2391.9902,521.7727576337368,808.7143560586662
2391.99715,-490.63171157784734,806.4228172957314
2392.00409,2045.2499099111885,807.5607209835046
2392.01104,-292.4175414308455,807.2519925060038
2392.01798,428.64436448811193,811.3187746374401
2392.02493,208.0402787488399,811.6641004397684
2392.03187,-1512.8642558146935,812.6749513252296
2392.03881,1714.9370949474699,813.7765854254122
2392.04576,1399.9453403512673,817.4576208285913
2392.0527,-471.2091289317456,818.43766441375
2392.05965,-946.0171404658632,823.3301258915944
2392.06659,-927.2612846060979,825.7311288917746
2392.07354,831.3608899077125,828.562232392988
2392.08048,-1094.230079010015,830.913965561833
2392.08743,543.9622072825485,835.5055642558711
2392.09437,-1282.9871726843353,838.9659232526272
2392.10132,-1416.1662579265583,842.489972519158
2392.10826,3088.0516801415692,847.8330726982374
2392.1152,-1209.4393315331722,851.5729915583779
2392.12215,1839.5800453537177,855.5308556812973
2392.12909,1662.9936924766066,860.0691424514076
2392.13604,-1089.8588289851625,859.2560263657609
2392.14298,1693.2739913017008,864.049292706461
2392.14993,378.4033384733319,865.7784343702543
2392.15687,769.4847549871546,866.2422918067255
2392.16382,-333.0961780740373,868.8657191452608
2392.17076,513.507552247231,869.4070318154714
2392.17771,894.8101635671268,870.3967982720021
2392.18465,706.9674567847671,870.6151805177643
2392.19159,552.3029014793706,869.6610281743493
2392.19854,-2611.1304189015873,867.3855485360406
2392.20548,1413.751162225176,864.4492413816661
2392.21243,381.28425803460925,863.0694676127939
2392.21937,214.54542592550425,862.5320877894302
2392.22632,-100.30725883635367,860.5372604719632
2392.23326,564.9262474012386,858.4138509117439
2392.24021,2112.5543566925135,862.6747627333848
2392.24715,390.1975091849276,859.0216942411189
2392.25409,228.3785592358512,855.2399342603546
2392.26104,-1087.4807675915908,851.2685236649615
2392.26798,-865.4098392240805,849.1919805296708
2392.27493,-1714.107810491452,845.4676838111731
2392.28187,-529.3245883004696,840.5121875380286
2392.28882,-850.1985708310475,837.689168222001
2392.29576,-1027.6366035420563,835.7204506377692
2392.30271,1447.5638129934782,832.1986955318994
2392.30965,-193.21289990638638,821.6677333784567
2392.3166,695.1619245156132,820.352523845325
2392.32354,-1227.08415815862,816.7092874701768
2392.33048,373.0345655440004,816.1939752874555
2392.33743,1824.9647125037723,814.7861253619245
2392.34437,88.04398689249084,813.9650343368378
2392.35132,-1294.209878899892,813.2807189854351
2392.35826,-950.3005569111295,813.5096980685354
2392.36521,-959.3780044173159,812.6484046090113
2392.37215,2553.413488013374,813.5976408938674
2392.3791,-719.6623586701038,813.4947314013672
2392.38604,1206.7701302271664,814.1140455340461
2392.39299,792.5937260779773,816.4117020587431
2392.39993,3029.0056655105136,818.3365028531819
2392.40687,-595.0563333259213,819.7907822206582
2392.41382,1462.854721535166,822.3636287789093
2392.42076,562.2914585051449,824.1056614407017
2392.42771,-536.386451797496,825.7911048061934
2392.43465,1091.7751086114322,828.0119615716253
2392.4416,2121.791630724738,831.0354468311115
2392.44854,473.6849652677672,830.8469979196859
2392.45549,-82.5930611623522,837.9419628776756
2392.46243,666.9824213813672,839.2670045279251
2392.46938,534.0577694810048,843.6862134351636
2392.47632,1612.0377623016127,844.9284468101316
2392.48326,-30.869788869182546,850.2815975978206
2392.49021,640.5887584529607,855.656706780406
2392.49715,-1826.3081074393083,858.3847915433732
2392.5041,1104.6669805763636,858.7595044513093
2392.51104,-1752.0835981389453,864.0701586438998
2392.51799,-1230.3244962234278,868.7395403089149
2392.52493,1529.8551374060582,873.3883837737282
2392.53187,3010.2388850761727,876.9826780547785
2392.53882,-1111.1643713050792,882.614842477123
2392.54576,-1238.3495794607666,885.8473148482364
2392.55271,655.2504114991054,887.6681136927173
2392.55965,-4028.837260334768,888.2002497202847
2392.5666,-82.09348036701927,890.3162305697928
2392.57354,-108.00722673432863,893.945264997993
2392.58049,1438.4453983326339,896.7668641193258
2392.58743,-1823.4164817949472,897.7545549066872
2392.59438,1958.4310048115826,901.2078129299691
2392.60132,-1096.7751771488445,897.6819064857608
2392.60826,-1463.1518699636167,903.8499212910282
2392.61521,152.02889244333693,904.7296772815848
2392.62215,-443.3169421088324,907.2145810145039
2392.6291,-154.98289740852343,910.8964903836489
2392.63604,33.70711937790408,910.4297925577881
2392.64299,-436.32150002522445,907.2570776096022
2392.64993,-1807.7339272547317,906.5536442526926
2392.65688,2453.770443311204,907.1615968278132
2392.66382,-564.7812782966231,905.5144987190811
2392.67077,418.60642838525695,905.8067310889728
2392.67771,1044.5936189522372,903.0192166403152
2392.68465,627.1815743053081,900.7451571967013
2392.6916,1976.610917099733,900.5135562157029
2392.69854,1968.2623572092168,899.8481403783156
2392.70549,-1163.5175545682657,899.3659296565578
2392.71243,-838.3906351554871,898.4722994562906
2392.71938,-425.547575333225,897.3900018531062
2392.72632,701.1204059805247,896.9460271423623
2392.73327,906.6693354974459,898.3016576014229
2392.74021,15.29200099914528,896.416403766947
