relative_time,r_flux,r_uncert,g_flux,g_uncert,redshift,mwebv,id
-30.0,0.0,0.0,0.0,0.0,0.06781904,0.29733032,II_17875549
-27.0,188.00079345703125,215.20643615722656,0.0,0.0,0.06781904,0.29733032,II_17875549
-24.0,-71.34495544433594,202.0103601157913,19.151487350463867,72.93109893798828,0.06781904,0.29733032,II_17875549
-21.0,-123.11937713623047,109.68856915322439,-104.17233276367188,79.17813110351562,0.06781904,0.29733032,II_17875549
-18.0,15.129960060119629,103.80955717935716,-32.228206634521484,81.6529541015625,0.06781904,0.29733032,II_17875549
-15.0,104.13180541992188,105.40357931272136,9.828845977783203,86.94754028320312,0.06781904,0.29733032,II_17875549
-12.0,0.0,0.0,0.0,0.0,0.06781904,0.29733032,II_17875549
-9.0,0.0,0.0,2329.5087890625,381.4942932128906,0.06781904,0.29733032,II_17875549
-6.0,0.0,0.0,2939.5439453125,1014.8316650390625,0.06781904,0.29733032,II_17875549
-3.0,0.0,0.0,4124.30859375,475.02789306640625,0.06781904,0.29733032,II_17875549
0.0,3169.707763671875,238.1023406982422,0.0,0.0,0.06781904,0.29733032,II_17875549
3.0,2808.461669921875,260.7071838378906,0.0,0.0,0.06781904,0.29733032,II_17875549
6.0,0.0,0.0,2951.96240234375,550.6771850585938,0.06781904,0.29733032,II_17875549
9.0,2931.98193359375,184.87191772460938,0.0,0.0,0.06781904,0.29733032,II_17875549
12.0,0.0,0.0,0.0,0.0,0.06781904,0.29733032,II_17875549
15.0,0.0,0.0,0.0,0.0,0.06781904,0.29733032,II_17875549
18.0,3356.874755859375,824.01611328125,0.0,0.0,0.06781904,0.29733032,II_17875549
21.0,0.0,0.0,1015.084716796875,835.1719360351562,0.06781904,0.29733032,II_17875549
24.0,0.0,0.0,0.0,0.0,0.06781904,0.29733032,II_17875549
27.0,0.0,0.0,1125.8935546875,357.2811279296875,0.06781904,0.29733032,II_17875549
30.0,2131.92626953125,248.38943481445312,0.0,0.0,0.06781904,0.29733032,II_17875549
33.0,1920.072265625,390.96685791015625,0.0,0.0,0.06781904,0.29733032,II_17875549
36.0,971.0225219726562,129.55912639826795,500.15167236328125,176.47677612304688,0.06781904,0.29733032,II_17875549
39.0,1966.754150390625,233.41831970214844,0.0,0.0,0.06781904,0.29733032,II_17875549
42.0,1917.538818359375,239.52430725097656,0.0,0.0,0.06781904,0.29733032,II_17875549
45.0,0.0,0.0,1231.0963134765625,1002.9624633789062,0.06781904,0.29733032,II_17875549
48.0,492.5802307128906,953.992008983485,-3907.28564453125,2996.113037109375,0.06781904,0.29733032,II_17875549
51.0,1208.0994873046875,663.6489323620114,231.4906005859375,232.99559020996094,0.06781904,0.29733032,II_17875549
54.0,2412.1484375,357.1270446777344,0.0,0.0,0.06781904,0.29733032,II_17875549
57.0,0.0,0.0,739.6140747070312,218.99855041503906,0.06781904,0.29733032,II_17875549
60.0,1025.4783935546875,180.61173752072997,305.2633972167969,100.33650207519531,0.06781904,0.29733032,II_17875549
63.0,809.79345703125,186.22993265771944,194.93145751953125,161.3946990966797,0.06781904,0.29733032,II_17875549
66.0,1651.617431640625,504.0932312011719,0.0,0.0,0.06781904,0.29733032,II_17875549
69.0,0.0,0.0,0.0,0.0,0.06781904,0.29733032,II_17875549
