relative_time,g_flux,g_uncert,r_flux,r_uncert,redshift,mwebv,id
-30.0,0.0,0.0,0.0,0.0,0.0837178,0.020728357,Ic-BL_4395957
-27.0,0.0,0.0,0.0,0.0,0.0837178,0.020728357,Ic-BL_4395957
-24.0,0.0,0.0,0.0,0.0,0.0837178,0.020728357,Ic-BL_4395957
-21.0,0.0,0.0,0.0,0.0,0.0837178,0.020728357,Ic-BL_4395957
-18.0,-109.10909271240234,184.49530029296875,0.0,0.0,0.0837178,0.020728357,Ic-BL_4395957
-15.0,129.9867401123047,145.3350372314453,0.0,0.0,0.0837178,0.020728357,Ic-BL_4395957
-12.0,0.0,0.0,0.0,0.0,0.0837178,0.020728357,Ic-BL_4395957
-9.0,517.4506225585938,85.90984344482422,0.0,0.0,0.0837178,0.020728357,Ic-BL_4395957
-6.0,0.0,0.0,511.19000244140625,134.05453491210938,0.0837178,0.020728357,Ic-BL_4395957
-3.0,0.0,0.0,790.6787719726562,76.3994369506836,0.0837178,0.020728357,Ic-BL_4395957
0.0,224.71841430664062,31.34543800354004,476.36566162109375,64.27005163335971,0.0837178,0.020728357,Ic-BL_4395957
3.0,893.5795288085938,347.1181640625,0.0,0.0,0.0837178,0.020728357,Ic-BL_4395957
6.0,0.0,0.0,-48.943294525146484,1196.7091064453125,0.0837178,0.020728357,Ic-BL_4395957
9.0,0.0,0.0,0.0,0.0,0.0837178,0.020728357,Ic-BL_4395957
12.0,173.28543090820312,80.79904174804688,196.55560302734375,80.06517451739556,0.0837178,0.020728357,Ic-BL_4395957
15.0,116.71138763427734,94.4785385131836,0.0,0.0,0.0837178,0.020728357,Ic-BL_4395957
18.0,127.90001678466797,41.18854904174805,212.1048126220703,121.59334235832763,0.0837178,0.020728357,Ic-BL_4395957
21.0,0.0,0.0,215.58621215820312,82.13395690917969,0.0837178,0.020728357,Ic-BL_4395957
24.0,13.860298156738281,27.928396224975586,73.66336822509766,48.8700274686061,0.0837178,0.020728357,Ic-BL_4395957
27.0,-0.0924147292971611,50.120018005371094,0.0,0.0,0.0837178,0.020728357,Ic-BL_4395957
30.0,0.0,0.0,-261.1241455078125,194.5003204345703,0.0837178,0.020728357,Ic-BL_4395957
33.0,0.0,0.0,1126.1214599609375,401.0167236328125,0.0837178,0.020728357,Ic-BL_4395957
36.0,0.0,0.0,185.86680603027344,104.5333251953125,0.0837178,0.020728357,Ic-BL_4395957
39.0,71.9146499633789,58.37897491455078,63.01984786987305,85.17432204111917,0.0837178,0.020728357,Ic-BL_4395957
42.0,17.546039581298828,32.74735641479492,60.20026779174805,52.90257859136573,0.0837178,0.020728357,Ic-BL_4395957
45.0,-77.60546875,41.93378448486328,-12.120909690856934,45.89753769520264,0.0837178,0.020728357,Ic-BL_4395957
48.0,115.379638671875,60.23674392700195,72.29499816894531,67.41456528624694,0.0837178,0.020728357,Ic-BL_4395957
51.0,23.095245361328125,40.95179748535156,78.45381164550781,77.9892675716938,0.0837178,0.020728357,Ic-BL_4395957
54.0,97.31605529785156,56.8847541809082,84.64884185791016,65.55762234532727,0.0837178,0.020728357,Ic-BL_4395957
57.0,67.99507141113281,155.0655517578125,58.286163330078125,195.4607749233763,0.0837178,0.020728357,Ic-BL_4395957
60.0,0.0,0.0,478.4565124511719,345.4078369140625,0.0837178,0.020728357,Ic-BL_4395957
63.0,189.27474975585938,91.2017593383789,102.39602661132812,87.14217121073476,0.0837178,0.020728357,Ic-BL_4395957
66.0,0.0,0.0,0.0,0.0,0.0837178,0.020728357,Ic-BL_4395957
69.0,0.0,0.0,214.11105346679688,76.7879867553711,0.0837178,0.020728357,Ic-BL_4395957
