relative_time,g_flux,g_uncert,r_flux,r_uncert,redshift,mwebv,id
-30.0,-17.681861877441406,17.247535705566406,-10.290925979614258,47.7400117916159,0.24615279,0.032812238,IIn_1092562
-27.0,-3.566758155822754,26.922897338867188,4.494322299957275,36.26334536884947,0.24615279,0.032812238,IIn_1092562
-24.0,0.0,0.0,-4.786059379577637,98.69239807128906,0.24615279,0.032812238,IIn_1092562
-21.0,33.314231872558594,25.985286712646484,23.6370792388916,40.9217711228497,0.24615279,0.032812238,IIn_1092562
-18.0,70.51700592041016,31.52142906188965,30.780044555664062,43.49424212246317,0.24615279,0.032812238,IIn_1092562
-15.0,110.87371063232422,102.97952270507812,0.0,0.0,0.24615279,0.032812238,IIn_1092562
-12.0,19.19491958618164,77.64131927490234,156.62481689453125,106.86704736813823,0.24615279,0.032812238,IIn_1092562
-9.0,0.0,0.0,226.05284118652344,121.09988403320312,0.24615279,0.032812238,IIn_1092562
-6.0,181.2050984700521,20.05059560139974,306.3919372558594,66.29634518071623,0.24615279,0.032812238,IIn_1092562
-3.0,183.9933319091797,33.950923919677734,292.89324951171875,45.65296998571235,0.24615279,0.032812238,IIn_1092562
0.0,163.28915405273438,27.4093017578125,182.27874755859375,53.7857067963236,0.24615279,0.032812238,IIn_1092562
3.0,146.43019104003906,31.624967575073242,202.8928985595703,44.522169365815486,0.24615279,0.032812238,IIn_1092562
6.0,151.91305541992188,38.047271728515625,159.08737182617188,56.83027791483782,0.24615279,0.032812238,IIn_1092562
9.0,61.75986099243164,81.47808074951172,0.0,0.0,0.24615279,0.032812238,IIn_1092562
12.0,98.53174591064453,91.8478012084961,187.57211303710938,77.15473569459336,0.24615279,0.032812238,IIn_1092562
15.0,107.0992660522461,74.52412414550781,-49.12199401855469,121.7625016008118,0.24615279,0.032812238,IIn_1092562
18.0,-23.507579803466797,28.649276733398438,-9.131027221679688,59.632058671517576,0.24615279,0.032812238,IIn_1092562
21.0,0.0,0.0,0.0,0.0,0.24615279,0.032812238,IIn_1092562
24.0,0.0,0.0,0.0,0.0,0.24615279,0.032812238,IIn_1092562
27.0,0.0,0.0,0.0,0.0,0.24615279,0.032812238,IIn_1092562
30.0,0.0,0.0,0.0,0.0,0.24615279,0.032812238,IIn_1092562
33.0,0.0,0.0,0.0,0.0,0.24615279,0.032812238,IIn_1092562
36.0,0.0,0.0,0.0,0.0,0.24615279,0.032812238,IIn_1092562
39.0,0.0,0.0,0.0,0.0,0.24615279,0.032812238,IIn_1092562
42.0,0.0,0.0,0.0,0.0,0.24615279,0.032812238,IIn_1092562
45.0,0.0,0.0,0.0,0.0,0.24615279,0.032812238,IIn_1092562
48.0,0.0,0.0,0.0,0.0,0.24615279,0.032812238,IIn_1092562
51.0,0.0,0.0,0.0,0.0,0.24615279,0.032812238,IIn_1092562
54.0,0.0,0.0,0.0,0.0,0.24615279,0.032812238,IIn_1092562
57.0,0.0,0.0,0.0,0.0,0.24615279,0.032812238,IIn_1092562
60.0,0.0,0.0,0.0,0.0,0.24615279,0.032812238,IIn_1092562
63.0,0.0,0.0,0.0,0.0,0.24615279,0.032812238,IIn_1092562
66.0,0.0,0.0,0.0,0.0,0.24615279,0.032812238,IIn_1092562
69.0,0.0,0.0,0.0,0.0,0.24615279,0.032812238,IIn_1092562
