relative_time,r_flux,r_uncert,g_flux,g_uncert,redshift,mwebv,id
-30.0,-539.0155639648438,469.5144958496094,0.0,0.0,0.15309285,0.05007926,Ib_15756962
-27.0,0.0,0.0,0.0,0.0,0.15309285,0.05007926,Ib_15756962
-24.0,309.226318359375,164.8509063720703,0.0,0.0,0.15309285,0.05007926,Ib_15756962
-21.0,-64.57823944091797,73.44529512516019,43.87558364868164,60.29829025268555,0.15309285,0.05007926,Ib_15756962
-18.0,0.9003061652183533,251.6053943007339,101.76294708251953,45.67597579956055,0.15309285,0.05007926,Ib_15756962
-15.0,-443.9771728515625,610.1240477973621,606.774169921875,228.19374084472656,0.15309285,0.05007926,Ib_15756962
-12.0,-195.60768127441406,458.1766665244123,379.3880615234375,323.4664001464844,0.15309285,0.05007926,Ib_15756962
-9.0,376.194091796875,206.35019345862543,111.99893951416016,94.05261993408203,0.15309285,0.05007926,Ib_15756962
-6.0,375.93743896484375,83.27231636412124,206.87049865722656,68.15164947509766,0.15309285,0.05007926,Ib_15756962
-3.0,374.6710205078125,60.69715876090692,277.9335021972656,43.704864501953125,0.15309285,0.05007926,Ib_15756962
0.0,509.6256103515625,80.01372434213177,373.0219421386719,42.27630615234375,0.15309285,0.05007926,Ib_15756962
3.0,431.0136413574219,76.25405282146852,345.90032958984375,37.673095703125,0.15309285,0.05007926,Ib_15756962
6.0,0.0,0.0,575.2506103515625,162.09494018554688,0.15309285,0.05007926,Ib_15756962
9.0,735.717529296875,149.15086364746094,0.0,0.0,0.15309285,0.05007926,Ib_15756962
12.0,0.0,0.0,0.0,0.0,0.15309285,0.05007926,Ib_15756962
15.0,416.085205078125,172.0565719512133,294.77569580078125,154.92373657226562,0.15309285,0.05007926,Ib_15756962
18.0,461.4895935058594,112.0961685180664,0.0,0.0,0.15309285,0.05007926,Ib_15756962
21.0,335.4131164550781,76.0800382620359,10.357948303222656,68.47373962402344,0.15309285,0.05007926,Ib_15756962
24.0,0.0,0.0,0.0,0.0,0.15309285,0.05007926,Ib_15756962
27.0,549.3980102539062,90.27054595947266,0.0,0.0,0.15309285,0.05007926,Ib_15756962
30.0,0.0,0.0,0.0,0.0,0.15309285,0.05007926,Ib_15756962
33.0,193.10377502441406,60.4629059025338,189.01290893554688,93.25861358642578,0.15309285,0.05007926,Ib_15756962
36.0,0.0,0.0,0.0,0.0,0.15309285,0.05007926,Ib_15756962
39.0,0.0,0.0,0.0,0.0,0.15309285,0.05007926,Ib_15756962
42.0,0.0,0.0,634.8870849609375,235.82594299316406,0.15309285,0.05007926,Ib_15756962
45.0,0.0,0.0,356.375732421875,149.9005889892578,0.15309285,0.05007926,Ib_15756962
48.0,118.95819091796875,72.98386738156546,51.60877227783203,81.08386993408203,0.15309285,0.05007926,Ib_15756962
51.0,0.0,0.0,0.0,0.0,0.15309285,0.05007926,Ib_15756962
54.0,0.0,0.0,240.6926155090332,130.14169692993164,0.15309285,0.05007926,Ib_15756962
57.0,188.0728302001953,89.71320179965353,28.05331802368164,100.89899444580078,0.15309285,0.05007926,Ib_15756962
60.0,0.0,0.0,0.0,0.0,0.15309285,0.05007926,Ib_15756962
63.0,0.0,0.0,0.0,0.0,0.15309285,0.05007926,Ib_15756962
66.0,464.4250946044922,241.61870523810944,0.0,0.0,0.15309285,0.05007926,Ib_15756962
69.0,151.25177001953125,121.87965500398141,75.55086517333984,73.35232543945312,0.15309285,0.05007926,Ib_15756962
