relative_time,r_flux,r_uncert,g_flux,g_uncert,redshift,mwebv,id
-30.0,0.0,0.0,0.0,0.0,0.21756835,0.110171735,IIb_32090908
-27.0,22.837421417236328,83.8177734597039,71.10252380371094,57.08414077758789,0.21756835,0.110171735,IIb_32090908
-24.0,0.0,0.0,0.0,0.0,0.21756835,0.110171735,IIb_32090908
-21.0,0.0,0.0,26.827871322631836,48.030208587646484,0.21756835,0.110171735,IIb_32090908
-18.0,0.0,0.0,0.0,0.0,0.21756835,0.110171735,IIb_32090908
-15.0,19.09627342224121,46.49395943435424,-94.10955810546875,33.365379333496094,0.21756835,0.110171735,IIb_32090908
-12.0,0.0,0.0,-41.2740364074707,59.41437530517578,0.21756835,0.110171735,IIb_32090908
-9.0,99.2650146484375,327.7535930256893,25.102693176269533,182.20944213867188,0.21756835,0.110171735,IIb_32090908
-6.0,-11.813177426656088,322.452185639107,67.29995902379353,205.70325215657553,0.21756835,0.110171735,IIb_32090908
-3.0,34.058132716587615,76.50491526429846,34.04723140171596,46.66159766060965,0.21756835,0.110171735,IIb_32090908
0.0,492.5316874186198,104.46219803106264,472.6252746582031,51.478599548339844,0.21756835,0.110171735,IIb_32090908
3.0,441.61192321777344,70.08419050980132,380.69356536865234,42.542490005493164,0.21756835,0.110171735,IIb_32090908
6.0,356.5060119628906,99.90957641601562,0.0,0.0,0.21756835,0.110171735,IIb_32090908
9.0,77.76930046081543,77.88087850990152,88.2102165222168,43.537641525268555,0.21756835,0.110171735,IIb_32090908
12.0,164.53084564208984,86.06453876766754,100.92413584391277,52.56672668457031,0.21756835,0.110171735,IIb_32090908
15.0,-2651.730712890625,1587.76806640625,0.0,0.0,0.21756835,0.110171735,IIb_32090908
18.0,899.8657836914062,241.86940002441406,0.0,0.0,0.21756835,0.110171735,IIb_32090908
21.0,573.8846435546875,122.72334289550781,0.0,0.0,0.21756835,0.110171735,IIb_32090908
24.0,330.9288635253906,72.76474153288507,78.75261688232422,48.030941009521484,0.21756835,0.110171735,IIb_32090908
27.0,246.57864379882812,213.0946807861328,0.0,0.0,0.21756835,0.110171735,IIb_32090908
30.0,193.4197998046875,86.02804860455585,-29.710189819335938,37.66340255737305,0.21756835,0.110171735,IIb_32090908
33.0,170.56222534179688,187.5444450642506,0.0,0.0,0.21756835,0.110171735,IIb_32090908
36.0,194.80291748046875,127.20403557232315,182.7878875732422,92.83939870198567,0.21756835,0.110171735,IIb_32090908
39.0,92.97119140625,155.38226318359375,138.998384475708,191.2329559326172,0.21756835,0.110171735,IIb_32090908
42.0,122.38684844970703,131.39252644678422,-9.15860366821289,102.63448333740234,0.21756835,0.110171735,IIb_32090908
45.0,76.1902847290039,134.71667064237445,-219.94093322753906,121.35401916503906,0.21756835,0.110171735,IIb_32090908
48.0,184.45741271972656,105.89723557126061,97.84282684326172,50.39204025268555,0.21756835,0.110171735,IIb_32090908
51.0,2.1142377853393555,69.0036248338515,-15.215319315592447,64.68504842122395,0.21756835,0.110171735,IIb_32090908
54.0,137.14376831054688,470.1502990722656,0.0,0.0,0.21756835,0.110171735,IIb_32090908
57.0,0.0,0.0,-654.1113891601562,567.5616455078125,0.21756835,0.110171735,IIb_32090908
60.0,0.0,0.0,0.0,0.0,0.21756835,0.110171735,IIb_32090908
63.0,0.0,0.0,0.0,0.0,0.21756835,0.110171735,IIb_32090908
66.0,45.92998059590658,269.83311466980587,-140.6725056966146,60.74920145670573,0.21756835,0.110171735,IIb_32090908
69.0,0.0,0.0,0.0,0.0,0.21756835,0.110171735,IIb_32090908
