relative_time,r_flux,r_uncert,g_flux,g_uncert,redshift,mwebv,id
-30.0,0.0,0.0,0.0,0.0,0.19520512,0.09235471,Ic-BL_25497808
-27.0,35.95764923095703,68.65001911597368,-36.09667456150055,39.38755416870117,0.19520512,0.09235471,Ic-BL_25497808
-24.0,28.63337771097819,58.52825529520675,-2.704655647277832,19.360530853271484,0.19520512,0.09235471,Ic-BL_25497808
-21.0,-21.91531777381897,35.44974445598487,32.17126941680908,28.04331684112549,0.19520512,0.09235471,Ic-BL_25497808
-18.0,0.0,0.0,17.775156021118164,54.68559455871582,0.19520512,0.09235471,Ic-BL_25497808
-15.0,-2.7409143447875977,41.02344079579252,-8.410789795219898,29.090174674987793,0.19520512,0.09235471,Ic-BL_25497808
-12.0,-22.626583735148113,94.88729955887563,244.22243881225586,124.56548563639323,0.19520512,0.09235471,Ic-BL_25497808
-9.0,218.00794219970703,86.00878707147251,0.0,0.0,0.19520512,0.09235471,Ic-BL_25497808
-6.0,97.87362416585286,43.35639891113712,156.5917943318685,60.497318267822266,0.19520512,0.09235471,Ic-BL_25497808
-3.0,195.5469970703125,38.48140312442663,150.3697738647461,21.40192985534668,0.19520512,0.09235471,Ic-BL_25497808
0.0,193.10897827148438,49.84169211769296,99.3004150390625,16.825244903564453,0.19520512,0.09235471,Ic-BL_25497808
3.0,269.7955830891927,51.32776949549229,50.01677449544271,17.692503611246746,0.19520512,0.09235471,Ic-BL_25497808
6.0,168.04954528808594,49.87864170022806,44.09938049316406,25.517720222473145,0.19520512,0.09235471,Ic-BL_25497808
9.0,79.4626973470052,32.79875865205841,25.361724217732746,60.032392501831055,0.19520512,0.09235471,Ic-BL_25497808
12.0,148.73503875732422,125.41568457767806,-78.09151077270508,81.75824356079102,0.19520512,0.09235471,Ic-BL_25497808
15.0,48.197937965393066,101.96579457315414,0.0,0.0,0.19520512,0.09235471,Ic-BL_25497808
18.0,124.60469055175781,84.82174545564506,47.834381103515625,44.236775716145836,0.19520512,0.09235471,Ic-BL_25497808
21.0,0.0,0.0,0.0,0.0,0.19520512,0.09235471,Ic-BL_25497808
24.0,17.18775803702218,47.44986798720952,54.936370849609375,31.487164088657924,0.19520512,0.09235471,Ic-BL_25497808
27.0,35.990715662638344,59.172567821610706,-9.445232391357422,19.55324935913086,0.19520512,0.09235471,Ic-BL_25497808
30.0,47.19882456461588,64.12453390066386,11.221303304036459,23.52143096923828,0.19520512,0.09235471,Ic-BL_25497808
33.0,-24.95821762084961,101.90166328221075,98.13648541768391,67.85530281066895,0.19520512,0.09235471,Ic-BL_25497808
36.0,53.82069253921509,184.5606456430198,-74.79650211334229,132.07377433776855,0.19520512,0.09235471,Ic-BL_25497808
39.0,-10.441014051437378,125.13224399696198,134.6159634590149,111.4964427947998,0.19520512,0.09235471,Ic-BL_25497808
42.0,22.281195831298827,81.82355558627351,-2.8760558128356934,37.49383010864258,0.19520512,0.09235471,Ic-BL_25497808
45.0,0.4467502236366272,116.3481433691404,39.94211196899414,54.813650131225586,0.19520512,0.09235471,Ic-BL_25497808
48.0,-59.38585662841797,87.21981312353716,14.180471420288086,39.799224853515625,0.19520512,0.09235471,Ic-BL_25497808
51.0,13.080077489217123,84.65920612150896,19.126007080078125,20.006731669108074,0.19520512,0.09235471,Ic-BL_25497808
54.0,-30.00519265068902,81.89903067682576,7.370845370822483,41.87574005126953,0.19520512,0.09235471,Ic-BL_25497808
57.0,-83.94265186786652,200.54628272812167,21.037147611379623,142.87794399261475,0.19520512,0.09235471,Ic-BL_25497808
60.0,-97.7034299770991,201.4752395696145,-31.26456069946289,164.16270192464194,0.19520512,0.09235471,Ic-BL_25497808
63.0,25.047227986653645,171.82832640187408,66.29686787923177,106.51034291585286,0.19520512,0.09235471,Ic-BL_25497808
66.0,21.63916254043579,84.41521266615676,-21.161098798116047,39.566843032836914,0.19520512,0.09235471,Ic-BL_25497808
69.0,30.541587557111466,81.50753988185882,-42.79393255710602,42.41641889299665,0.19520512,0.09235471,Ic-BL_25497808
