relative_time,g_flux,g_uncert,r_flux,r_uncert,redshift,mwebv,id
-30.0,54.12944793701172,85.48055267333984,-110.56253814697266,188.18062637411717,0.056502096,0.18352886,Ib_7521767
-27.0,-27.537994384765625,69.8400650024414,-212.9609832763672,165.57220984980592,0.056502096,0.18352886,Ib_7521767
-24.0,-356.1344909667969,229.0991973876953,0.0,0.0,0.056502096,0.18352886,Ib_7521767
-21.0,-75.2901840209961,158.2248077392578,1.4902944564819336,191.77615041834636,0.056502096,0.18352886,Ib_7521767
-18.0,0.0,0.0,0.0,0.0,0.056502096,0.18352886,Ib_7521767
-15.0,0.0,0.0,0.0,0.0,0.056502096,0.18352886,Ib_7521767
-12.0,307.0281677246094,109.90140533447266,665.95068359375,172.7148342438984,0.056502096,0.18352886,Ib_7521767
-9.0,0.0,0.0,0.0,0.0,0.056502096,0.18352886,Ib_7521767
-6.0,852.9468383789062,130.51327514648438,0.0,0.0,0.056502096,0.18352886,Ib_7521767
-3.0,0.0,0.0,1467.444580078125,132.17599487304688,0.056502096,0.18352886,Ib_7521767
0.0,345.6485595703125,64.45427703857422,655.7149047851562,87.9828963143428,0.056502096,0.18352886,Ib_7521767
3.0,584.0415649414062,121.9901123046875,0.0,0.0,0.056502096,0.18352886,Ib_7521767
6.0,0.0,0.0,0.0,0.0,0.056502096,0.18352886,Ib_7521767
9.0,-482.82110595703125,864.6770629882812,255.6602020263672,328.517412701074,0.056502096,0.18352886,Ib_7521767
12.0,255.02796936035156,421.39068603515625,332.6954040527344,294.7140055719643,0.056502096,0.18352886,Ib_7521767
15.0,-12.993782997131348,114.50176239013672,256.24481201171875,196.5202482399021,0.056502096,0.18352886,Ib_7521767
18.0,0.0,0.0,0.0,0.0,0.056502096,0.18352886,Ib_7521767
21.0,158.3526153564453,60.07368850708008,207.22256469726562,65.70811019674633,0.056502096,0.18352886,Ib_7521767
24.0,0.0,0.0,0.0,0.0,0.056502096,0.18352886,Ib_7521767
27.0,94.16022491455078,56.445621490478516,245.955322265625,69.74791732094562,0.056502096,0.18352886,Ib_7521767
30.0,0.0,0.0,0.0,0.0,0.056502096,0.18352886,Ib_7521767
33.0,0.0,0.0,0.0,0.0,0.056502096,0.18352886,Ib_7521767
36.0,0.0,0.0,0.0,0.0,0.056502096,0.18352886,Ib_7521767
39.0,257.4277648925781,251.7148895263672,75.02651977539062,444.54794290440424,0.056502096,0.18352886,Ib_7521767
42.0,0.0,0.0,0.0,0.0,0.056502096,0.18352886,Ib_7521767
45.0,147.9722900390625,93.45706939697266,0.0,0.0,0.056502096,0.18352886,Ib_7521767
48.0,0.0,0.0,0.0,0.0,0.056502096,0.18352886,Ib_7521767
51.0,198.5148468017578,127.58170318603516,51.76216125488281,77.88677722570853,0.056502096,0.18352886,Ib_7521767
54.0,0.0,0.0,0.0,0.0,0.056502096,0.18352886,Ib_7521767
57.0,0.0,0.0,0.0,0.0,0.056502096,0.18352886,Ib_7521767
60.0,590.3759765625,810.8839721679688,-137.74729919433594,1097.6024442097682,0.056502096,0.18352886,Ib_7521767
63.0,-2461.139404296875,1653.5020751953125,0.0,0.0,0.056502096,0.18352886,Ib_7521767
66.0,0.0,0.0,0.0,0.0,0.056502096,0.18352886,Ib_7521767
69.0,0.0,0.0,0.0,0.0,0.056502096,0.18352886,Ib_7521767
